state,district,disease,cases,deaths,start_date,report_date,status,comments,year,month,week
kerala,ernakulam,hepatitis,22,0,2026-01-31,2026-01-31,under surveillance,"Cases of nausea, abdominal pain and fever were reported from Village Chowara (CT), Sub-District Aluva, District Ernakulam. District RRT investigated the outbreak. House to house survey was done. Cases were treated at FHC Chowara. Cases were in the age group 8-47 years. Out of 6 blood samples collected, 2 samples tested positive for Hepatitis A (IgM ELISA). 2 water samples collected from the households of the cases, were positive for E.coli at RPH Lab Ernakulam. Superchlorination of",2026,1,5
kerala,kozhikode,food poisoning,182,0,2026-01-31,2026-01-31,under surveillance,"Cases of loose watery stools were reported from Village Onchiam, Sub- District Vatakara, District Kozhikode. District RRT investigated the outbreak. Cases fell ill after consuming food at a religious gathering. Cases were treated at a health camp established in the locality and at PHC Madappally. All cases recovered. The affected age group was 3-78 years. 2 water samples - one from the temple and another from a nearby house were collected and sent for testing (Lab KWA Vadakara). The sample from the nearby house was found to have E-coli and coliform bacteria and the water sample from",2026,1,5
kerala,kozhikode,chickenpox,30,0,2026-01-31,2026-01-31,under surveillance,"Cases of fever with vesicular rash were reported from Village Edacheri (CT), Sub-District Vatakara, District Kozhikode. District RRT investigated the outbreak. Cases were students of Al-Hudha School. Symptomatic treatment was given to cases. The affected age group was 8-12 years. Community awareness and health education given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,5
telangana,suryapet,acute diarrheal disease,104,0,2026-01-30,2026-01-30,under surveillance,"Cases of loose motion were reported from Village Sirikonda, Sub-District Mothey, District Suryapet. District RRT investigated the outbreak. House to house survey was done. The population of the affected area was 4,293. Cases were treated symptomatically at a health camp established in the locality. Medicine and ORS packets were given to cases. The affected age group was 8-75 years. 8 stool samples collected and sent to GMC Microbiology Laboratory, Suryapet, tested negative for cholera by culture. Chlorination of water sources was done. IEC activities, sanitation measures, safe drinking water promotion, and personal hygiene education carried out at the community level.",2026,1,5
kerala,idukki,hepatitis,22,0,2026-01-30,2026-01-31,under surveillance,"Cases of nausea, abdominal pain and yellow coloured urine were reported from Village Peruvanthanam, District Idukki. District RRT investigated the outbreak. House to house survey was done. Cases were treated at PHC Peruvanthanam. The affected age group was 6-63 years. All 19 blood samples collected for HAV IgM ELISA, tested positive from General Medical College, Idukki Laboratory. Water culture from the suspected well water revealed coliform predominance and was unsatisfactory for human consumption. Chlorine tablets were distributed to the households. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2026,1,5
maharashtra,dharashiv,measles,6,0,2026-01-30,2026-01-30,under surveillance,"Cases of fever with rash were reported from Village Diksal, Sub- District Kalamb, District Dharashiv. District RRT investigated the outbreak. Active search for fever cases was done. Cases were given symptomatic treatment. Out of 6 blood samples collected and sent to Kasturba lab, Dharashiv, 4 samples tested positive for Measles (IgM",2026,1,5
kerala,palakkad,chickenpox,35,0,2026-01-30,2026-01-31,under surveillance,"Cases of fever with rash were reported from Village Payyanadam, Sub-District Mannarkad, District Palakkad. District RRT investigated the outbreak. Active search for fever cases was done. Cases were treated symptomatically. Cases were in the age group 6-56 years. Community awareness and health education was given by the peripheral team on",2026,1,5
bihar,begusarai,measles,13,0,2026-01-29,2026-01-30,under surveillance,"Cases of fever with rash were reported from Village Lauchhi, Sub- District Bakhri, District Begusarai. Block RRT investigated the outbreak. Active search for fever cases was done. The cases were in the age group of 2-13 years. 5 serum samples and 2 throat swab samples were collected. 4 serum samples tested positive for Measles by IgM ELISA, while both throat swab samples were negative by PCR. Community awareness and health education given by the peripheral team on spread of infection, isolation of cases, hygiene and sanitation.",2026,1,5
jammu and kashmir,baramulla,chickenpox,21,0,2026-01-29,2026-01-30,under surveillance,"Cases of fever with rash were reported from Village Ringwali, Sub- District Tangmarg, District Baramulla. District and Block RRT investigated the outbreak. The affected age group was 7-51 years. Medicines were given to cases. Community awareness and health education given by the peripheral team on the spread of infection, isolation of cases, hygiene and sanitation.",2026,1,5
west bengal,purbabardhaman,food poisoning,53,0,2026-01-29,2026-01-29,under surveillance,"Cases of loose motion, vomiting and abdominal pain were reported from Village Chak Bhura, Sub-District Raina II, District Purba Bardhaman. District RRT investigated the outbreak. Cases fell ill after consuming food at a community meal. All cases were treated at RH Madhabdihi. The affected age group was 11-70 years. Community awareness and health was education given by the peripheral team on safe food habits, hygiene and sanitation.",2026,1,5
madhya pradesh,eastnimar,chickenpox,10,0,2026-01-28,2026-01-28,under surveillance,"Cases of fever with vesicular rash were reported from Government Primary School, Village Dugwada, Sub-District Khandwa, District East Nimar. District RRT investigated the outbreak. Active search for fever cases was done. All cases were treated. The affected age group was 7- 12 years. All 12 blood samples collected, tested negative for V. zoster (IgM ELISA). Cases were clinically diagnosed with chickenpox. Community awareness and health education was given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,5
madhya pradesh,umaria,acute diarrheal disease,41,0,2026-01-28,2026-01-29,under surveillance,"Cases of loose motion were reported from Primary School, Village Jarha, Sub-District Karkeli, District Umaria. District RRT investigated the outbreak. Medicine and ORS packets were given to cases. 8 children were treated at District Hospital Umaria. Chlorination of water sources was done. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2026,1,5
madhya pradesh,gwalior,measles,9,0,2026-01-28,2026-01-28,under surveillance,"Cases of fever with maculopapular rash were reported from Village Jakhara, Sub-District Murar, District Gwalior. District RRT investigated the outbreak. Active search for fever cases was done. Cases were treated symptomatically. The affected age group was 4-10 years. Out of 5 serum samples collected, 1 sample tested positive for Measles (IgM ELISA). Community awareness and health education was given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2026,1,5
bihar,purnia,undifferentiated fever,19,0,2026-01-28,2026-01-29,under surveillance,"Cases of fever with rash were reported from Village Pataraha 2, Sub-District Barhara, District Purnia. Block RRT and District RRT investigated the outbreak. Active search for fever cases was done in the affected area. Cases were treated symptomatically. The affected age group was 7 months - 30 years. Community awareness and health education given by the peripheral team on the spread of infection, isolation of cases, hygiene and sanitation.",2026,1,5
maharashtra,gadchiroli,food poisoning,107,0,2026-01-28,2026-01-29,under surveillance,"Cases of vomiting and stomach ache were reported from Government Ashram School, Village Laheri, Sub- District Bhamragad, District Gadchiroli. District RRT investigated the outbreak. Cases developed symptoms after eating food prepared at the school kitchen. Cases were treated at PHC Laheri. 55 patients were treated at Rural hospital, Bhamragad. All cases recovered. The affected age group was 6-17 years. Community awareness and health education given by the peripheral team on safe food habits, hygiene and sanitation.",2026,1,5
odisha,jharsuguda,food poisoning,55,0,2026-01-28,2026-01-28,under surveillance,"Cases of loose motion, vomiting and abdominal pain were reported from Brajrajnagar (Ward No.11 &12), Sub- District Orient, District Jharsuguda.. District RRT investigated the outbreak. Preliminary investigation revealed that the affected individuals had consumed Gupchup (street food ) on 26.01.2026 afternoon. Subsequently, on the morning of 27.01.2026, cases developed symptoms. Cases were treated at health facilities. 1 patient was treated at District Hospital (DHH), Jharsuguda.The affected age group was 6-52 years. All cases recovered. Community awareness and health education was given by the peripheral team on safe food habits, hygiene and sanitation.",2026,1,5
tamil nadu,perambalur,food poisoning,81,0,2026-01-28,2026-01-28,under surveillance,"Cases of abdominal pain and vomiting were reported from Village Kallapatti, Sub-District Veppanthattai, District Perambalur. District RRT investigated the outbreak. Cases developed symptoms after consuming food at a community gathering. All cases were treated at Krishnapur SDH Hospital. The affected age group was 2-70 years. Community awareness and health education was given by the peripheral team on safe food habits, hygiene and sanitation.",2026,1,5
uttarakhand,chamoli,jaundice,101,0,2026-01-28,2026-01-29,under surveillance,"Cases of abdominal pain, nausea, yellow colored urine and fever were reported from Village Mathakot, Sub- District Gairsain, District Chamoli. District RRT investigated the outbreak. House to house fever survey was done. Cases were treated at CHC Gairsain. The affected age group was 3-68 years. All 23 blood samples collected, tested negative for Hepatitis A (IgM ELISA). Chlorine tablets were distributed to the households. Community awareness and health education was given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2026,1,5
odisha,ganjam,chickenpox,28,0,2026-01-28,2026-01-28,"cases of fever with vesicular rash were reported from villages bajrakote, dhunkuni and sandhinuapalli, sub- district asika, district ganjam. district rrt investigated the outbreak. active search for fever cases was done. all cases were given symptomatic treatment. the affected age group was 2-13 years. community awareness and health education was given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",nan,2026,1,5
gujarat,bhavnagar,measles,6,0,2026-01-28,2026-01-29,under surveillance,"Cases of fever with rash were reported from Kharo Urban-1, Sub- District Mahuva, District Bhavnagar. District RRT investigated the outbreak. Active search for fever cases was done. The affected age group was 3-13 years. All cases were treated symptomatically. 3 serum samples collected, tested positive for Measles (IgM ELISA). A round of measles vaccination was conducted and vitamin A supplementation was given. Community awareness and health education given by the",2026,1,5
