state,city,co,nh3,no2,o3,pm10,pm2.5,so2
andhra pradesh,amaravati,24.0,4.0,24.0,40.0,117.0,68.0,15.0
andhra pradesh,anantapur,17.0,5.0,25.0,34.0,65.0,60.0,16.0
andhra pradesh,chittoor,38.0,6.0,29.0,37.0,55.0,60.0,13.0
andhra pradesh,kadapa,42.0,4.0,21.0,14.0,82.0,60.0,16.0
andhra pradesh,rajamahendravaram,24.0,4.0,30.0,20.0,92.0,75.0,16.0
andhra pradesh,tirumala,24.0,2.0,43.0,58.0,100.0,112.0,12.0
andhra pradesh,tirupati,22.0,6.0,31.0,29.0,,,13.0
andhra pradesh,vijayawada,30.0,3.3333333333333335,26.333333333333332,24.5,65.33333333333333,69.33333333333333,15.0
andhra pradesh,visakhapatnam,20.0,3.0,106.0,42.0,146.0,85.0,35.0
arunachal pradesh,naharlagun,16.0,1.0,7.0,6.0,90.0,82.0,10.0
assam,byrnihat,55.0,4.0,8.0,29.0,99.0,163.0,32.0
assam,guwahati,55.0,3.0,17.0,17.0,98.5,97.5,26.5
assam,nagaon,22.0,4.0,1.0,9.0,84.0,86.0,13.0
assam,nalbari,21.0,6.0,14.0,26.0,116.0,155.0,13.0
assam,silchar,20.0,1.0,23.0,3.0,48.0,31.0,6.0
assam,sivasagar,31.0,9.0,39.0,49.0,50.0,44.0,10.0
bihar,araria,61.0,4.0,3.0,10.0,80.0,108.0,38.0
bihar,arrah,51.0,2.0,7.0,8.0,75.0,92.0,5.0
bihar,aurangabad,102.0,,,74.0,,,
bihar,begusarai,27.0,4.0,13.0,38.0,81.0,112.0,25.0
bihar,bettiah,53.0,1.0,8.0,22.0,76.0,64.0,32.0
bihar,bhagalpur,45.5,3.5,7.5,19.5,72.0,51.0,51.5
bihar,bihar sharif,61.0,3.0,9.0,2.0,51.0,70.0,10.0
bihar,buxar,24.0,3.0,10.0,30.0,71.0,72.0,27.0
bihar,chhapra,11.0,7.0,2.0,14.0,82.0,59.0,20.0
bihar,gaya,31.666666666666668,3.0,14.333333333333334,43.0,107.5,102.66666666666667,25.0
bihar,hajipur,39.0,18.0,40.0,153.0,145.0,156.0,7.0
bihar,katihar,85.0,1.0,9.0,23.0,63.0,63.0,21.0
bihar,kishanganj,21.0,3.0,11.0,32.0,84.0,117.0,6.0
bihar,manguraha,32.0,1.0,6.0,10.0,148.0,155.0,16.0
bihar,motihari,40.0,3.0,9.0,4.0,114.0,140.0,3.0
bihar,munger,37.0,3.0,5.0,10.0,65.0,67.0,72.0
bihar,muzaffarpur,36.333333333333336,9.5,21.0,34.666666666666664,97.5,114.33333333333333,11.0
bihar,patna,53.333333333333336,7.8,27.333333333333332,61.166666666666664,122.2,102.16666666666667,7.333333333333333
bihar,purnia,70.0,3.0,6.0,18.0,73.0,94.0,18.0
bihar,rajgir,42.0,3.0,14.0,25.0,44.0,48.0,3.0
bihar,saharsa,36.0,4.0,7.0,10.0,137.0,133.0,16.0
bihar,samastipur,1.0,1.0,8.0,8.0,100.0,131.0,22.0
bihar,sasaram,49.0,3.0,3.0,16.0,85.0,40.0,4.0
