country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,andhra pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2026-03-03 15:00:00,16.554731,80.64911,nh3,3.0,4.0,4.0
India,andhra pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2026-03-03 15:00:00,16.554731,80.64911,so2,10.0,14.0,12.0
India,andhra pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2026-03-03 15:00:00,17.72,83.3,pm10,78.0,241.0,146.0
India,andhra pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2026-03-03 15:00:00,17.72,83.3,so2,7.0,105.0,35.0
India,arunachal pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2026-03-03 15:00:00,27.103358,93.679645,so2,9.0,10.0,10.0
India,assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2026-03-03 15:00:00,26.071318,91.87488,nh3,4.0,4.0,4.0
India,assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2026-03-03 15:00:00,26.071318,91.87488,o3,12.0,54.0,29.0
India,assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,pm2.5,89.0,125.0,106.0
India,assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,no2,8.0,29.0,17.0
India,assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,nh3,4.0,6.0,5.0
India,assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,co,16.0,129.0,90.0
India,assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-03-03 15:00:00,26.1875,91.744194,co,12.0,28.0,20.0
India,assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-03-03 15:00:00,26.1875,91.744194,o3,15.0,25.0,19.0
India,assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-03-03 15:00:00,26.349082,92.68449,pm2.5,50.0,150.0,86.0
