0,1,2,3,4,5,6,7,8,9,10
Unique ID.,"Name of 
State-UT","Name of 
District","Disease- 
Illness","No. of 
Cases","No. of 
Deaths","Date of Start 
of Outbreak","Date of 
Reporting","Current 
Status",Comments- Action Taken,
BH/AUR/2025/40/1825,Bihar,Aurangabad,"Acute 
Diarrhoeal 
Disease",11,0,"27-09-
2025","04-10-
2025","Under 
Surveillance","Cases 
of 
loose 
stools 
and 
vomiting  were 
reported 
from 
Village 
Akauna, 
Sub-District 
Aurangabad, 
District 
Aurangabad. 
District 
RRT 
investigated the outbreak. House 
to house survey was done. Cases 
were 
treated 
symptomatically. 
Cases  were  in  the  age  group  of 
7-70  years.  ORS  packets  were 
given  to  cases.  Chlorine  tablets 
were 
distributed 
to 
the 
households. 
Community 
awareness  and  health  education 
given  by  the  peripheral team  on 
safe  drinking  water  and 
food 
habits, hygiene and sanitation.",
BH/AUR/2025/40/1826,Bihar,Aurangabad,"Acute 
Diarrhoeal 
Disease",19,0,"26-09-
2025","03-10-
2025","Under 
Surveillance","Cases 
of 
loose 
stools 
and 
vomiting  were 
reported 
from 
Village 
Deuria, 
Sub-District 
Aurangabad, 
District 
Aurangabad. 
District 
RRT 
investigated the outbreak. House 
to 
house 
survey  was 
done. 
Medicine and ORS packets were 
given to cases. Cases were in the 
age 
group 
of 
10-65 
years. 
Chlorination  of  water 
sources 
was 
done. 
Community 
awareness  and  health  education 
given  by  the  peripheral team  on 
safe drinking water, hygiene and 
sanitation.",
CT/BAS/2025/40/1827,"Chhattisgar
h",Bastar,"Leptospirosi
s",5,0,"29-09-
2025","01-10-
2025","Under 
Control","Cases 
were 
reported 
from 
Villages 
Dabaguda,  Maretha, 
Adawal,  Mandar  Alnar,  Sub-
District  Bastar,  District  Bastar. 
Cases 
presented 
with 
fever, 
headache and joint pain. District 
RRT  investigated  the  outbreak. 
The  affected  age  group  was  25-
42. 5 blood samples were sent to 
the  Microbiology  Department, 
Medical 
College 
Dimrapal, 
Jagdalpur  for  Leptospirosis  IgM 
ELISA 
testing, 
and 
all  were 
found  positive 
for  Leptospira.  
Community 
awareness 
and 
health  education  given  by 
the 
peripheral 
team 
on 
control 
measures, 
hygiene 
and 
sanitation.",
GJ/CHH/2025/40/1828,Gujarat,"Chhotaudep
ur","Suspected 
Food 
Poisoning",7,0,"30-09-
2025","30-09-
2025","Under 
Control","Cases  presenting  with  vomiting 
and  weakness  were 
reported 
from  Village 
Padaliya, 
Sub-
District  Chhotaudepur,  District 
Chhotaudepur. 
District 
RRT 
investigated 
the  outbreak.  The 
affected 
age  group  was  6-55 
years. 
Symptoms 
developed 
after  consuming  dinner  (kodari 
and 
ladyfinger 
sabji). 
The 
patients  were 
referred 
to  SSG 
Hospital. 
The 
collected 
food 
samples were safe, no E. coli, S. 
aureus, 
or 
Salmonella 
were 
found, and they met the required 
safety 
standards 
as 
tested 
at 
Food 
and  Drugs 
Laboratory, 
Vadodara. 
Community 
awareness  and  health  education 
given  by  the  peripheral team  on 
safe  drinking  water  and 
food 
habits, hygiene and sanitation.",
GJ/PAN/2025/40/1829,Gujarat,"Panch 
Mahals","Food 
Poisoning",63,0,"28-09-
2025","29-09-
2025","Under 
Surveillance","Cases  of  vomiting 
and 
loose 
stools were reported from Amrit 
Vidyalaya,  Village  Alva,  Sub-
District  Kalol,  District  Panch 
Mahals. 
District 
RRT 
investigated 
the  outbreak.  The 
affected 
age  group  was  6-35 
years.  The  cases  had  consumed 
idli,  meduvada  and  sambhar  at 
Amrit  Vidhyalay  School.  Cases 
were  treated  symptomatically.  3 
food samples were collected and 
sent 
to 
the  Food  Department 
Panchmahal; 
result 
awaited. 
Community 
awareness 
and 
health  education  given  by 
the 
peripheral team on safe drinking 
water  and  food  habits,  hygiene 
and sanitation.",
HR/KUR/2025/40/1830,Haryana,"Kurukshetr
a","Leptospirosi
s",68,0,"30-09-
2025","30-09-
2025","Under 
Surveillance","Cases of fever with loose watery 
stool 
and 
vomiting 
were 
reported from Anaj Mandi, Sub-
District 
Shahbad, 
District 
Kurukshetra. 
District 
RRT 
investigated 
the  outbreak.  All 
cases  were 
treated.  Out  of  14 
blood samples collected and sent 
to 
DPHL 
Kurukshetra, 
6 
samples 
tested 
positive 
for 
Leptospirosis 
(IgM 
ELISA). 
Further, out of 27 blood samples 
collected  for  HAV  and  HEV,  1 
sample 
tested 
positive 
for 
Hepatitis  A  (IgM  ELISA).  ORS 
packets  were  given 
to 
cases. 
Community 
awareness 
and 
health  education  given  by 
the 
peripheral 
team 
on 
personal 
protection,  hygiene  maintenance 
and proper nutrition.",
JK/JAM/2025/40/1831,"Jammu and 
Kashmir",Jammu,Dengue,36,0,"30-09-
2025","03-10-
2025","Under 
Surveillance","Cases  of 
fever  with  bodyache 
were reported from Miran Sahib, 
Simbal and R S Pura area, Sub-
District 
Ranbir 
Singh 
Pura, 
District 
Jammu.  District  RRT 
investigated the outbreak. House 
to house fever survey was done. 
The affected age group was 3-75 
years. Cases were treated. All 36 
serum  samples  collected 
tested 
positive 
for  Dengue  virus  by 
NS1  Ag  ELISA, 
IgM  ELISA, 
and 
Rapid 
NS1 
tests 
from 
11.08.2025  to  29.10.2025.  Anti-
larval activities and fogging was 
done 
in 
the 
affected 
area. 
Community 
awareness 
and 
health  education  given  by 
the 
peripheral 
team 
on 
vector 
control  measures,  hygiene  and 
sanitation.",
JH/EAS/2025/40/1832,Jharkhand,"East 
Singhbum","Acute 
Diarrhoeal 
Disease",22,0,"01-10-
2025","03-10-
2025","Under 
Surveillance","Cases 
of 
loose 
stools 
and 
vomiting  were 
reported 
from 
Village  Bhumrudi,  Sub-District 
Ghatshila, 
District 
East 
Singhbum. 
District 
RRT 
investigated  the  outbreak.  Cases 
were 
in 
the 
age  group  of  1 
month-45 years. 7 water samples 
were collected and sent to MGM 
Microbiology  Lab,  Jamshedpur 
for 
culture 
test. 
5 
samples 
showed 
the 
presence 
of 
Enterococcus 
fecalis 
and 
1 
sample  showed  the  presence  of 
Escherichia 
coli. 
Chlorine 
tablets  were  distributed 
to 
the 
households. 
Community 
awareness  and  health  education 
given  by  the  peripheral team  on 
safe  drinking  water  and 
food 
habits, hygiene and sanitation.",
JH/EAS/2025/40/1833,Jharkhand,"East 
Singhbum","Acute 
Diarrhoeal 
Disease",8,0,"30-09-
2025","01-10-
2025","Under 
Surveillance","Cases 
of 
loose 
stools 
and 
vomiting  were 
reported 
from 
Village  Dangdung,  Sub-District 
Boram,  District  East  Singhbum. 
District  RRT 
investigated 
the 
outbreak.  Cases  were  in  the  age 
group  of  18-46  years.  Medicine 
and  ORS  packets  were  given  to 
cases. 
3  water 
samples  were 
collected 
and 
sent 
to  MGM 
Microbiology  Lab,  Jamshedpur 
for culture test. 1 sample showed 
the 
presence 
of  Enterococcus 
fecalis.  Chlorination 
of  water 
sources was done in the affected 
area. Community awareness and 
health  education  given  by 
the 
peripheral team on safe drinking 
water  and  food  habits,  hygiene 
and sanitation.",
JH/EAS/2025/40/1834,Jharkhand,"East 
Singhbum","Acute 
Diarrhoeal 
Disease",25,0,"01-10-
2025","01-10-
2025","Under 
Surveillance","Cases 
of 
loose  motion 
and 
vomiting  were 
reported 
from 
Village Andharjhor, Sub-District 
Boram,  District  East  Singhbum. 
District  RRT 
investigated 
the 
outbreak. The affected age group 
was  10-62  years.  Symptomatic 
treatment  was  given  to  cases.  4 
water 
samples  were 
tested 
at 
MGM  Microbiology 
lab 
for 
culture and showed growth of no 
pathogens 
after 
48 
hours 
of 
incubation. 
Chlorination 
of 
water 
sources 
was 
done. 
Community 
awareness 
and 
health  education  given  by 
the 
peripheral team on safe drinking 
water  and  food  habits,  hygiene 
and sanitation.",
JH/SAR/2025/40/1835,Jharkhand,"Saraikela 
Kharsawan","Acute 
Diarrhoeal 
Disease",12,0,"02-10-
2025","04-10-
2025","Under 
Surveillance","Cases 
of 
loose 
stools  were 
reported  from  Village  Jaragoda, 
Sub-District 
Ichagarh,  District 
Saraikela  Kharsawan.  District 
RRT  investigated  the  outbreak. 
The  affected  age  group  was  13-
50  years.  Cases  were 
treated 
symptomatically. 1 water sample 
was  collected  and  tested  at  the 
District-level 
Water 
Testing 
Laboratory, 
Saraikela. 
The 
chemical 
test 
showed 
results 
within  permissible 
limits, 
and 
the 
bacteriological 
test 
(H₂S 
vials) 
indicated 
absence 
of 
contamination.  Chlorine 
tablets 
were 
distributed 
to 
the 
households. 
Community 
awareness  and  health  education 
given  by  the  peripheral team  on 
safe  drinking  water  and 
food 
habits, hygiene and sanitation.",
KL/ERN/2025/40/1836,Kerala,Ernakulam,Dengue,11,0,"26-09-
2025","29-09-
2025","Under 
Surveillance","Cases  of 
fever  with  bodyache 
and  fatigue  were  reported  from 
Village  Nadama, 
Sub-District 
Kanayannur, 
District 
Ernakulam. 
District 
RRT 
investigated the outbreak. House 
to house fever survey was done. 
The affected age group was 4-69 
years.  2 
serum 
samples  were 
tested  at  RPHL  Ernakulam  and 
found  positive 
for  Dengue  by 
IgM ELISA. Fogging and source 
reduction 
activities 
were 
conducted. 
Community 
awareness  and  health  education 
given  by  the  peripheral team  on 
vector control measures, hygiene 
and sanitation.",
KL/MAL/2025/40/1837,Kerala,"Malappura
m",Hepatitis A,8,0,"04-10-
2025","04-10-
2025","Under 
Surveillance","Cases of loss of appetite, nausea, 
abdominal 
pain 
and 
yellow 
coloured 
urine  were 
reported 
from 
Ward 
10, 
UHC 
Vrindavanam 
area, 
Village 
Nilambur 
(CT), 
Sub-District 
Nilambur,  District  Malappuram. 
District  RRT 
investigated 
the 
outbreak. House to house survey 
was  done.  Cases  were treated at 
UPHC  Nilambur.  Cases  were 
below  5  years  of  age.  2  serum 
samples  collected  and 
sent 
to 
DH Nilambur tested positive for 
Hepatitis  A 
(IgM  ELISA).  1 
water 
sample 
collected 
was 
potable.  Chlorination  of  water 
sources  was  done.    Community 
awareness  and  health  education 
given  by  the  peripheral team  on 
safe drinking water, hygiene and 
sanitation.",
KL/PAL/2025/40/1838,Kerala,Palakkad,"Suspected 
Food 
Poisoning",14,0,"05-10-
2025","05-10-
2025","Under 
Surveillance","Cases  of  loose  stool,  abdominal 
pain  and  nausea  were  reported 
from 
Village 
Kozhipathy, 
Thekkedesom 
& 
Perumatty, 
Sub-District 
Chittur, 
District 
Palakkad. 
The 
affected 
individuals  were  aged  between 
24-76 
years.  The 
cases 
had 
consumed 
food 
at 
a 
funeral 
ceremony. 
All 
cases 
were 
treated.  Community 
awareness 
and  health  education  given  by 
the 
peripheral 
team 
on 
safe 
drinking  water  and  food  habits, 
hygiene and sanitation.",
MP/CHH/2025/40/1839,"Madhya 
Pradesh",Chhatarpur,Measles,5,0,"03-10-
2025","03-10-
2025","Under 
Surveillance","Cases  of  fever  with  rash  were 
reported from Shakti Ma Colony 
ward  no  17,  CHC/Sub-District 
Nowgaon,  District  Chhatarpur. 
District  RRT 
investigated 
the 
outbreak. Active search for fever 
cases  was  done  in  the  locality. 
Cases 
were 
treated 
symptomatically.  Cases  were  in 
the age group 1-14 years. Out of 
5 
serum 
samples  collected,  1 
sample 
tested 
positive 
for 
Measles  (IgM  ELISA)  at  ICMR 
Jabalpur  Lab  where 
the 
tests 
were  conducted  for  measles  and 
rubella.    Community  awareness 
and  health  education  given  by 
the  peripheral  team  on  isolation 
of  cases,  hygiene  maintenance 
and proper nutrition.",
MH/AKO/2025/40/1840,"Maharashtr
a",Akola,"Acute 
Diarrhoeal 
Disease",15,0,"01-10-
2025","01-10-
2025","Under 
Control","Cases  of  loose  motion,  pain  in 
abdomen 
and 
vomiting  were 
reported 
from 
Village 
Dhanegaon, 
Sub-District 
Balapur,  District  Akola.  District 
RRT  investigated  the  outbreak. 
Cases 
were 
treated 
symptomatically.  Most 
cases 
were  in  the  age  group  of  15-60 
years.  1  water  sample  was  sent 
to  DPHL  Akola  and  was  found 
to  be  potable.  Chlorination  of 
water 
sources 
was 
done.  
Community 
awareness 
and 
health  education  given  by 
the 
peripheral team on safe drinking 
water, hygiene and sanitation.",
MH/BUL/2025/40/1841,"Maharashtr
a",Buldhana,"Acute 
Diarrhoeal 
Disease",19,0,"01-10-
2025","01-10-
2025","Under 
Control","Cases 
of 
loose  motion 
and 
vomiting  were 
reported 
from 
Village 
Isrul, 
Sub-District 
Chikhli, 
District 
Buldhana. 
District  RRT 
investigated 
the 
outbreak.  
Cases  were 
treated 
at 
PHC 
Shelgaon  Atol. 
  Medicine  and 
ORS 
packets  were 
given 
to 
cases.  Cases  were 
in 
the  age 
group 
19-90 
years.  Chlorine 
tablets 
were 
distributed 
to 
households. 
Community 
awareness  and  health  education 
given  by  the  peripheral team  on 
safe drinking water, hygiene and 
sanitation.",
MH/DHA/2025/40/1842,"Maharashtr
a",Dharashiv,Malaria,12,0,"01-10-
2025","01-10-
2025","Under 
Surveillance","Cases  of  fever  with  chills  were 
reported 
from  Village  Ghoga 
wasti, 
Sub-District 
Kalamb, 
District Dharashiv. District RRT 
investigated the outbreak. House 
to house fever survey was done. 
Anti-malarial 
medicine 
was 
given  to  cases.  Out  of  12  blood 
samples 
collected, 
1 
sample 
tested 
positive 
for 
P. 
vivax 
(RDT). Fogging was done in the 
affected 
area. 
Community 
awareness  and  health  education 
given  by  the  peripheral team  on 
vector control measures, hygiene 
and sanitation.",
