0,1,2
S. No.,DISTRICT,STATE
1,ANDAMAN_NICOBAR_IS,Andman & Nicobar Island
2,ADILABAD,Andhra Pradesh
3,ANANTAPUR,Andhra Pradesh
4,CHITTOOR,Andhra Pradesh
5,EAST_GODAVARI,Andhra Pradesh
6,GUNTUR,Andhra Pradesh
7,HYDERABAD,Andhra Pradesh
8,Kadapa,Andhra Pradesh
9,KARIMNAGAR,Andhra Pradesh
10,KHAMMAM/BHADRACHALAM,Andhra Pradesh
11,KRISHNA,Andhra Pradesh
12,KURNOOL,Andhra Pradesh
13,MAHBUBNAGAR,Andhra Pradesh
14,MEDAK,Andhra Pradesh
15,NALGONDA,Andhra Pradesh
16,NELLORE,Andhra Pradesh
17,NIZAMABAD,Andhra Pradesh
18,PRAKASAM,Andhra Pradesh
19,RANGAREDDI,Andhra Pradesh
20,SRIKAKULAM,Andhra Pradesh
21,VISAKHAPATNAM,Andhra Pradesh
22,VIZIANAGARAM,Andhra Pradesh
23,WARANGAL,Andhra Pradesh
24,WEST_GODAVARI,Andhra Pradesh
25,ANJAW,Arunachal Pradesh
26,CHANGLANG,Arunachal Pradesh
27,EAST KAMENG,Arunachal Pradesh
28,EAST SIANG,Arunachal Pradesh
29,KURUNG KUMEY,Arunachal Pradesh
30,LOHIT,Arunachal Pradesh
31,LOWER DIBANG_VALLEY,Arunachal Pradesh
32,LOWER SUBANSIRI,Arunachal Pradesh
33,PAPUM PARE,Arunachal Pradesh
34,TAWANG,Arunachal Pradesh
35,TIRAP,Arunachal Pradesh
36,UPPER DIBANG VALLEY,Arunachal Pradesh
37,UPPER SIANG,Arunachal Pradesh
38,UPPER SUBANSIRI,Arunachal Pradesh
39,WEST KAMENG,Arunachal Pradesh
40,WEST SIANG,Arunachal Pradesh
41,BAKSA,Assam
42,BARPETA,Assam
43,BONGAIGAON,Assam
44,CACHAR,Assam
45,CHIRANG,Assam
46,DARRANG,Assam
47,DHEMAJI,Assam
48,DHUBRI,Assam
49,DIBRUGARH,Assam
50,GOALPARA,Assam
51,GOLAGHAT,Assam
52,HAILAKANDI,Assam
53,JORHAT,Assam
54,KAMRUP,Assam
55,KARBI ANGLONG,Assam
56,KARIMGANJ,Assam
57,KOKRAJHAR,Assam
58,LAKHIMPUR,Assam
59,MARIGAON,Assam
60,NAGAON,Assam
61,NALBARI,Assam
62,NORTH_CACHAR_HILLS,Assam
63,SIBSAGAR,Assam
64,SONITPUR,Assam
65,TINSUKIA,Assam
66,UDALGURI,Assam
67,ARARIA,Bihar
68,ARWAL,Bihar
69,AURANGABAD-BI,Bihar
70,BANKA,Bihar
71,BEGUSARAI,Bihar
72,BHAGALPUR,Bihar
73,BHOJPUR,Bihar
74,BUXAR,Bihar
75,DARBHANGA,Bihar
76,EAST CHAMPARAN,Bihar
77,GAYA,Bihar
78,GOPALGANJ,Bihar
79,JAMUI,Bihar
80,JEHANABAD,Bihar
81,KAIMUR,Bihar
82,KATIHAR,Bihar
83,KHAGARIA,Bihar
84,KISHANGANJ,Bihar
85,LAKHISARAI,Bihar
86,MADHEPURA,Bihar
87,MADHUBANI,Bihar
88,MUNGER,Bihar
89,MUZAFFARPUR,Bihar
90,NALANDA,Bihar
91,NAWADA,Bihar
92,PATNA,Bihar
93,PURNIA,Bihar
94,ROHTAS,Bihar
95,SAHARSA,Bihar
96,SAMASTIPUR,Bihar
97,SARAN,Bihar
98,SHEIKHPURA,Bihar
99,SHEOHAR,Bihar
100,SITAMARHI,Bihar
101,SIWAN,Bihar
102,SUPAUL,Bihar
103,VAISHALI,Bihar
104,WEST CHAMPARAN,Bihar
105,BASTAR,Chattisgarh
106,BILASPUR-CG,Chattisgarh
107,DANTEWADA,Chattisgarh
108,DHAMTARI,Chattisgarh
109,DURG,Chattisgarh
110,JANJGIR,Chattisgarh
111,JASHPUR,Chattisgarh
112,KANKER,Chattisgarh
113,KAWARDHA/Kabir Dham,Chattisgarh
114,KORBA,Chattisgarh
115,KORIYA,Chattisgarh
116,MAHASAMUND,Chattisgarh
117,RAIGARH-CG,Chattisgarh
118,RAIPUR,Chattisgarh
119,RAJNANDGAON,Chattisgarh
120,SURGUJA (Ambikapur),Chattisgarh
